smru_platform_code,reference_doi,location,species
ct33-OO021-07,10.1594/PANGAEA.714646,Marion Island,
ct33-OO418-07,10.1594/PANGAEA.714654,Marion Island,
ct33-PO043-07,10.1594/PANGAEA.714652,Marion Island,
ct33-WW058-07,10.1594/PANGAEA.714647,Marion Island,
ct33-WW061-07,10.1594/PANGAEA.714648,Marion Island,
ct42-WB057-08,10.1594/PANGAEA.714663,Marion Island,
ct35x-GG380-08,10.1594/PANGAEA.714659,Marion Island,
ct35x-PO225-08,10.1594/PANGAEA.714665,Marion Island,
ct35x-WR029-08,10.1594/PANGAEA.714666,Marion Island,
ct35x-WW005-08,10.1594/PANGAEA.714664,Marion Island,
ct50-BB246-09,10.1594/PANGAEA.734605,Marion Island,
ct50-BB349-09,10.1594/PANGAEA.734606,Marion Island,
ct50-RR217-09,10.1594/PANGAEA.734604,Marion Island,
ct50-RR435-09,10.1594/PANGAEA.734607,Marion Island,
ct54-496-10,10.1594/PANGAEA.749643,King George Is,
ct54-498-10,10.1594/PANGAEA.749644,King George Is,
ct54-500-10,10.1594/PANGAEA.749648,King George Is,
ct54-501-10,10.1594/PANGAEA.749645,King George Is,
ct54-502-10,10.1594/PANGAEA.749646,King George Is,
ct54-503-10,10.1594/PANGAEA.749649,King George Is,
ct54-504-10,10.1594/PANGAEA.749650,King George Is,
ct54-505-10,10.1594/PANGAEA.749651,King George Is,
ct54-r515a-10,10.1594/PANGAEA.749653,King George Is,
ct54-r515b-10,10.1594/PANGAEA.749653,King George Is,
ct54-r674-10,10.1594/PANGAEA.749652,King George Is,
ct73-846-11,10.1594/PANGAEA.776430,Marion Island,
ct73-GG335-11,10.1594/PANGAEA.776428,Marion Island,
ct73-OO052-11,10.1594/PANGAEA.776431,Marion Island,
ct73-RR217-11,10.1594/PANGAEA.776426,Marion Island,
ct73-WW061-11,10.1594/PANGAEA.776425,Marion Island,
ct73-YY039-11,10.1594/PANGAEA.776427,Marion Island,
ct90-317-12,10.1594/PANGAEA.810550,Marion Island,
ct21-36-07,10.1594/PANGAEA.706940,Marion Island,
ct21-37-07,10.1594/PANGAEA.706944,Marion Island,
ct21-38-07,10.1594/PANGAEA.706941,Marion Island,
ct21-39-07,10.1594/PANGAEA.706939,Marion Island,
ct21-41-07,10.1594/PANGAEA.706943,Marion Island,
ct21-GG178-07,10.1594/PANGAEA.706942,Marion Island,
ct35-RR483-07,10.1594/PANGAEA.706938,Marion Island,
ct35-YY070-07,10.1594/PANGAEA.706937,Marion Island,
ct35-YY193a-07,10.1594/PANGAEA.706949,Marion Island,
ct35-YY240-07,10.1594/PANGAEA.706936,Marion Island,
ct35-YY264a-07,10.1594/PANGAEA.706951,Marion Island,
ct35-YY348a-07,10.1594/PANGAEA.706950,Marion Island,
ct35b-YY039-08,10.1594/PANGAEA.714657,Marion Island,
ct35b-YY193b-08,10.1594/PANGAEA.714653,Marion Island,
ct35b-YY264b-08,10.1594/PANGAEA.714658,Marion Island,
ct35b-YY348b-08,10.1594/PANGAEA.714656,Marion Island,
ct44-1-08,10.1594/PANGAEA.714617,Weddell Sea,
ct44-2-08,10.1594/PANGAEA.714618,Weddell Sea,
ct44-3-08,10.1594/PANGAEA.714615,Weddell Sea,
ct44-5-08,10.1594/PANGAEA.714620,Weddell Sea,
ct44-6-08,10.1594/PANGAEA.714619,Weddell Sea,
ct68-WW005-10,10.1594/PANGAEA.758668,Marion Island,
ct68-YY189-10,10.1594/PANGAEA.758666,Marion Island,
ct87-188-12,10.1594/PANGAEA.810553,Marion Island,
ct87-923-12,10.1594/PANGAEA.810552,Marion Island,
ct99-LB037-13,10.1594/PANGAEA.839518,Marion Island,
ct99-OO052-13,10.1594/PANGAEA.846745,Marion Island,
ct99-YY189-13,10.1594/PANGAEA.839517,Marion Island,
ct102-12190-12,10.1594/PANGAEA.833564,King George Is. Antarctica,
ct102-12782-13,10.1594/PANGAEA.833558,King George Is. Antarctica,
ct102-12787-13,10.1594/PANGAEA.833562,King George Is. Antarctica,
ct102-12797-13,10.1594/PANGAEA.833563,King George Is. Antarctica,
ct102-12798-13,10.1594/PANGAEA.833561,King George Is. Antarctica,
ct102-12799-13,10.1594/PANGAEA.833560,King George Is. Antarctica,
ct102-OO052-11,10.1594/PANGAEA.833559,King George Is. Antarctica,
wd06-01-13,10.1594/PANGAEA.839692,Weddell Sea,
wd06-02-13,,Weddell Sea,
wd06-03-13,10.1594/PANGAEA.839698,Weddell Sea,
wd06-04-13,10.1594/PANGAEA.839693,Weddell Sea,
wd06-05-13,10.1594/PANGAEA.839694,Weddell Sea,
wd06-07-13,10.1594/PANGAEA.839695,Weddell Sea,
wd06-08-13,10.1594/PANGAEA.839696,Weddell Sea,
wd06-09-13,10.1594/PANGAEA.839699,Weddell Sea,
wd06-10-13,10.1594/PANGAEA.839697,Weddell Sea,
ct2-9916-04,,Macquarie,Southern ellie
ct2-9919-04,,Macquarie,Southern ellie
ct2-9920-04,,Macquarie,Southern ellie
ct2-9925-04,,Macquarie,Southern ellie
ct6-10006-05,,Macquarie,Southern ellie
ct6-10010-05,,Macquarie,Southern ellie
ct6-10011-05,,Macquarie,Southern ellie
ct6-10015-05,,Macquarie,Southern ellie
ct6-10016-05,,Macquarie,Southern ellie
ct6-10017-05,,Macquarie,Southern ellie
ct6-10018-05,,Macquarie,Southern ellie
ct6-10020-05,,Macquarie,Southern ellie
ct6-10021-05,,Macquarie,Southern ellie
ct6-9920-05,,Macquarie,Southern ellie
wd1-10165-06,,Davis,Weddell seal
wd1-10183-06,,Davis,Weddell seal
wd1-10213-06,,Davis,Weddell seal
wd1-10216-06,,Davis,Weddell seal
wd1-10217-06,,Davis,Weddell seal
wd1-9497-06,,Davis,Weddell seal
awru1-A-06,,Davis,Weddell seal
awru1-B-06,,Davis,Weddell seal
awru1-C-06,,Davis,Weddell seal
wd3-CTD2-07,,Dumont d'Urville,Weddell seal
wd3-CTD3-07,,Dumont d'Urville,Weddell seal
ct31-441_rec-07,,South Australia,Sea lion
ct31-448B_rec-07,,South Australia,Sea lion
ct38w-Denise-08,,Dumont d'Urville,Weddell seal
ct38w-Elodie-08,,Dumont d'Urville,Weddell seal
ct38w-Mathilde-08,,Dumont d'Urville,Weddell seal
ct38w-QueenEliz-08,,Dumont d'Urville,Weddell seal
ct36-A-09,,Kerguelen,Southern ellie
ct36-B-09,,Kerguelen,Southern ellie
ct36-C-09,,Kerguelen,Southern ellie
ct36-D-09,,Kerguelen,Southern ellie
ct36-E-09,,Kerguelen,Southern ellie
ct36-F-09,,Kerguelen,Southern ellie
ct36-R1-09,,Kerguelen,Southern ellie
ct36-R4-09,,Kerguelen,Southern ellie
ct47-A-09,,Dumont d'Urville,Weddell seal
ct47-B-09,,Dumont d'Urville,Weddell seal
ct47-C-09,,Dumont d'Urville,Weddell seal
ct47-D-09,,Dumont d'Urville,Weddell seal
ct47-E-09,,Dumont d'Urville,Weddell seal
ct47-F-09,,Dumont d'Urville,Weddell seal
ct47-G-09,,Dumont d'Urville,Weddell seal
ct47-I-09,,Dumont d'Urville,Weddell seal
ct61-01r-09,,South Australia,Sea lion
ct61-02-09,,South Australia,Sea lion
ct61-03-09,,South Australia,Sea lion
ct61-04-09,,South Australia,Sea lion
ct61-06-09,,South Australia,Sea lion
ct61-07-09,,South Australia,Sea lion
ct61-08-09,,South Australia,Sea lion
ct61-09-09,,South Australia,Sea lion
ct61-10-09,,South Australia,Sea lion
ct64-M001-09,,Macquarie,Southern ellie
ct64-M036-09,,Macquarie,Southern ellie
ct64-M037-09,,Macquarie,Southern ellie
ct64-M040-09,,Macquarie,Southern ellie
ct64-M043-09,,Macquarie,Southern ellie
ct64-M044-09,,Macquarie,Southern ellie
ct64-M052-09,,Macquarie,Southern ellie
ct64-M053-09,,Macquarie,Southern ellie
ct64-M059-09,,Macquarie,Southern ellie
ct64-M061-09,,Macquarie,Southern ellie
ct64-M721-09,,Macquarie,Southern ellie
ct64-M746-09,,Macquarie,Southern ellie
ct64-M752-09,,Macquarie,Southern ellie
ct64-M979-09,,Macquarie,Southern ellie
ct64-M994-09,,Macquarie,Southern ellie
ct76-073-11,,South Australia,Sea lion
ct76-364r-11,,South Australia,Sea lion
ct76-402-11,,South Australia,Sea lion
ct76-825-11,,South Australia,Sea lion
ct78d-760-11,,Davis,Southern ellie
ct78d-D351-11,,Davis,Southern ellie
ct78d-D358-11,,Davis,Southern ellie
ct78d-D361-11,,Davis,Southern ellie
ct78d-D362-11,,Davis,Southern ellie
ct78d-D398-11,,Davis,Southern ellie
ct78d-D400-11,,Davis,Southern ellie
ct78d-D408-11,,Davis,Southern ellie
ct78d-D484-11,,Davis,Southern ellie
ct78d-D487-11,,Davis,Southern ellie
ct78d-D489-11,,Davis,Southern ellie
ct78d-D496-11,,Davis,Southern ellie
ct78d-D677-11,,Davis,Southern ellie
ct78d-D703-11,,Davis,Southern ellie
ct78d-D704-11,,Davis,Southern ellie
ct78d-D761-11,,Davis,Southern ellie
ct78d-D822-11,,Davis,Southern ellie
ct78d-D827-11,,Davis,Southern ellie
ct78d-D850-11,,Davis,Southern ellie
ct78d-D876-11,,Davis,Southern ellie
ct78d-D877-11,,Davis,Southern ellie
wd04-836-11,,Davis,Weddell seal
wd04-838-11,,Davis,Weddell seal
wd04-880-11,,Davis,Weddell seal
wd04-881-11,,Davis,Weddell seal
wd04-882-11,,Davis,Weddell seal
wd04-883-11,,Davis,Weddell seal
wd04-884-11,,Davis,Weddell seal
wd04-896-11,,Davis,Weddell seal
wd04-897-11,,Davis,Weddell seal
wd04-898-11,,Davis,Weddell seal
wd04-899-11,,Davis,Weddell seal
wd04-900-11,,Davis,Weddell seal
wd04-906-11,,Davis,Weddell seal
wd04-907-11,,Davis,Weddell seal
wd04-908-11,,Davis,Weddell seal
wd04-909-11,,Davis,Weddell seal
wd04-910-11,,Davis,Weddell seal
wd04-911-11,,Davis,Weddell seal
ct75-020-11,,Dumont d'Urville,Weddell seal
ct75-030-11,,Dumont d'Urville,Weddell seal
ct75-838-11,,Dumont d'Urville,Weddell seal
ct75-839-11,,Dumont d'Urville,Weddell seal
ct75-Cy32-11,,Dumont d'Urville,Weddell seal
ct86-172-12,,South Australia,Sea lion
ct86-186-12,,South Australia,Sea lion
ct86-187-12,,South Australia,Sea lion
ct86-239-12,,South Australia,Sea lion
ct86-364_2-11,,South Australia,Sea lion
ct86-402_2-11,,South Australia,Sea lion
ct77-167-12,,Casey,Southern ellie
ct77-170-12,,Casey,Southern ellie
ct77-171-12,,Casey,Southern ellie
ct77-177-12,,Casey,Southern ellie
ct77-178-12,,Casey,Southern ellie
ct77-179-12,,Casey,Southern ellie
ct77-180-12,,Casey,Southern ellie
ct77-181-12,,Casey,Southern ellie
ct77-182-12,,Casey,Southern ellie
ct77-184-12,,Casey,Southern ellie
ct77-185-12,,Casey,Southern ellie
ct77-469-12,,Casey,Southern ellie
ct77-473-12,,Casey,Southern ellie
ct77-485-12,,Casey,Southern ellie
ct77-492-12,,Casey,Southern ellie
ct77-652-12,,Casey,Southern ellie
ct77-701-12,,Casey,Southern ellie
ct77-823-12,,Casey,Southern ellie
ct77-824-12,,Casey,Southern ellie
ct77-854-12,,Casey,Southern ellie
ct77-891-12,,Casey,Southern ellie
ct77-919-12,,Casey,Southern ellie
ct78-450-12,,Davis,Southern ellie
ct78-459-12,,Davis,Southern ellie
ct78-460-12,,Davis,Southern ellie
ct78-461-12,,Davis,Southern ellie
ct78-465-12,,Davis,Southern ellie
ct78-472-12,,Davis,Southern ellie
ct78-497-12,,Davis,Southern ellie
ct78-498-12,,Davis,Southern ellie
ct78-523-12,,Davis,Southern ellie
ct78-700-12,,Davis,Southern ellie
ct78-706-12,,Davis,Southern ellie
ct78-758-12,,Davis,Southern ellie
ct78-820-12,,Davis,Southern ellie
ct78-821-12,,Davis,Southern ellie
ct78-826-12,,Davis,Southern ellie
ct78-828-12,,Davis,Southern ellie
ct78-829-12,,Davis,Southern ellie
ct78-851-12,,Davis,Southern ellie
ct78-852-12,,Davis,Southern ellie
ct78-875-12,,Davis,Southern ellie
ct78-892-12,,Davis,Southern ellie
ct79-238-12,,Campbell,Southern ellie
ct79-249-12,,Campbell,Southern ellie
ct79-242-12,,Campbell,Southern ellie
ct79-259-12,,Campbell,Southern ellie
ct91-305-12,,South Australia,Fur seal
ct91-326-12,,South Australia,Fur seal
ct91-327-12,,South Australia,Fur seal
ct91-329-12,,South Australia,Fur seal
ct91-411-12,,South Australia,Fur seal
ct91-412-12,,South Australia,Fur seal
ct91-414-12,,South Australia,Fur seal
ct91-417-12,,South Australia,Fur seal
ct91-418-12,,South Australia,Fur seal
ct96-01-13,,Kerguelen,Southern ellie
ct96-02-13,,Kerguelen,Southern ellie
ct96-03-13,,Kerguelen,Southern ellie
ct96-05-13,,Kerguelen,Southern ellie
ct96-06-13,,Kerguelen,Southern ellie
ct96-07-13,,Kerguelen,Southern ellie
ct96-08-13,,Kerguelen,Southern ellie
ct96-09-13,,Kerguelen,Southern ellie
ct96-10-13,,Kerguelen,Southern ellie
ct96-11-13,,Kerguelen,Southern ellie
ct96-12-13,,Kerguelen,Southern ellie
ct96-14-13,,Kerguelen,Southern ellie
ct96-16-13,,Kerguelen,Southern ellie
ct96-17-13,,Kerguelen,Southern ellie
ct96-18-13,,Kerguelen,Southern ellie
ct96-19-13,,Kerguelen,Southern ellie
ct96-20-13,,Kerguelen,Southern ellie
ct96-21-13,,Kerguelen,Southern ellie
ct96-22-13,,Kerguelen,Southern ellie
ct96-23-13,,Kerguelen,Southern ellie
ct96-24-13,,Kerguelen,Southern ellie
ct96-25-13,,Kerguelen,Southern ellie
ct96-26-13,,Kerguelen,Southern ellie
ct96-27-13,,Kerguelen,Southern ellie
ct96-28-13,,Kerguelen,Southern ellie
ct96-29-13,,Kerguelen,Southern ellie
ct96-30-13,,Kerguelen,Southern ellie
ct100-251-13,,Campbell,Southern ellie
ct100-263-13,,Campbell,Southern ellie
ct100-264-13,,Campbell,Southern ellie
ct100-298-13,,Campbell,Southern ellie
ct100-301-13,,Campbell,Southern ellie
ft13-073_3-13,,Australia. West Island,Sea lion
ft13-615-12,,Australia. S Neptune Is,Sea lion
ft13-616_recov-12,,Australia. Nuyts Reef,Sea lion
ft13-618-12,,Australia,Sea lion
ft13-627-12,,Australia. Rocky North,Sea lion
ft13-628_recov-12,,Australia. Kangaroo Is,Sea lion
ft13-633_recov-12,,Australia. Pearson Island,Sea lion
ct101-303-12,,South Australia,Fur seal
ct101-330-12,,South Australia,Fur seal
ct101-416-12,,South Australia,Fur seal
ct101-416-rebatt-12,,South Australia,Fur seal
ct101-701-13,,South Australia,Fur seal
ct101-703-13,,South Australia,Fur seal
ct101-704-13,,South Australia,Fur seal
ct101-790-13,,South Australia,Fur seal
ct101-791-13,,South Australia,Fur seal
ct101-792-13,,South Australia,Fur seal
ct101-793-13,,South Australia,Fur seal
ct101-794-13,,South Australia,Fur seal
ct101-795-13,,South Australia,Fur seal
ct106-175-12,,South Australia,Sea lion
ct106-614-12,,South Australia,Sea lion
ct106-628_rebat-14,,South Australia,Sea lion
ct106-629_2-12,,South Australia,Sea lion
ct106-633_rebat-14,,Australia. Pearson Island,Sea lion
ct106-705-13,,South Australia,Fur seal
ct106-796-13,,South Australia,Fur seal
ct98-31-13,,Kerguelen,Southern ellie
ct98-33-13,,Kerguelen,Southern ellie
ct98-34-13,,Kerguelen,Southern ellie
ct98-35-13,,Kerguelen,Southern ellie
ct98-36-13,,Kerguelen,Southern ellie
ct98-38-13,,Kerguelen,Southern ellie
ct98-39-13,,Kerguelen,Southern ellie
ct98-40-13,,Kerguelen,Southern ellie
ct98-41-13,,Kerguelen,Southern ellie
ct98-42-13,,Kerguelen,Southern ellie
ct98-43-13,,Kerguelen,Southern ellie
ct98-45-13,,Kerguelen,Southern ellie
ct98-46-13,,Kerguelen,Southern ellie
ct98-47-13,,Kerguelen,Southern ellie
ct98-48-13,,Kerguelen,Southern ellie
ct98-49-13,,Kerguelen,Southern ellie
ct98-50-13,,Kerguelen,Southern ellie
ct85-237-12,,Scott Base,Weddell seal
ct85-245-12,,Scott Base,Weddell seal
ct85-246-12,,Scott Base,Weddell seal
ct85-250-12,,Scott Base,Weddell seal
ct85-252-12,,Scott Base,Weddell seal
ct85-254-12,,Scott Base,Weddell seal
ct85-257-12,,Scott Base,Weddell seal
ct85-44-13,,Scott Base,Weddell seal
ct108-297-13,,Campbell,Southern ellie
ct108-300-13,,Campbell,Southern ellie
ct108-554-13,,Campbell,Southern ellie
ct108-564-13,,Campbell,Southern ellie
ct108-569-13,,Campbell,Southern ellie
ct108-622-13,,Campbell,Southern ellie
ct108-632-13,,Campbell,Southern ellie
ct108-663-13,,Campbell,Southern ellie
ct110-027-14,,Montague Is. Australia,Fur seal
ct110-027-rebatt-14,,Montague Is. Australia,Fur seal
ct110-028-14,,Montague Is. Australia,Fur seal
ct110-029-14,,Montague Is. Australia,Fur seal
ct110-086-14,,Montague Is. Australia,Fur seal
ct110-087-14,,Montague Is. Australia,Fur seal
ct110-088-14,,Montague Is. Australia,Fur seal
ct110-089-14,,Montague Is. Australia,Fur seal
ct110-090-14,,Montague Is. Australia,Fur seal
ct110-256-12,,Montague Is. Australia,Fur seal
ct111-030-13,,Dumont d'Urville,Weddell seal
ct111-617-13,,Dumont d'Urville,Weddell seal
ct111-665-13,,Dumont d'Urville,Weddell seal
ct111-835-10,,Dumont d'Urville,Weddell seal
ct109-031-14,,Kerguelen,Southern ellie
ct109-032-14,,Kerguelen,Southern ellie
ct109-085-14,,Kerguelen,Southern ellie
ct109-184-14,,Kerguelen,Southern ellie
ct109-186-14,,Kerguelen,Southern ellie
ct109-187-14,,Kerguelen,Southern ellie
ct109-188-14,,Kerguelen,Southern ellie
ct109-190-14,,Kerguelen,Southern ellie
ct109-191-14,,Kerguelen,Southern ellie
ct109-937-14,,Kerguelen,Southern ellie
ct109-939-14,,Kerguelen,Southern ellie
ct109-942-14,,Kerguelen,Southern ellie
ct109-944-14,,Kerguelen,Southern ellie
ct109-949-14,,Kerguelen,Southern ellie
ct109-956-14,,Kerguelen,Southern ellie
ct109-958-14,,Kerguelen,Southern ellie
ct109-964-14,,Kerguelen,Southern ellie
ct109-965-14,,Kerguelen,Southern ellie
ct109-966-14,,Kerguelen,Southern ellie
ct109-967-14,,Kerguelen,Southern ellie
ct109-968-14,,Kerguelen,Southern ellie
ct109-973-14,,Kerguelen,Southern ellie
ft19-221-14,,Australia. West Island,Sea lion
ft19-222-14,,Australia. West Island,Sea lion
ft19-633_rebat2-14,,Australia. Pearson Island,Sea lion
ct115-892-14,,Montague Is. Australia,Fur seal
ct123-185-14,,South Australia,Sea lion
ct123-224-14,,South Australia,Sea lion
ct123-226-14,,South Australia,Sea lion
ct123-363_rebat-09,,Australia. West Island,Sea lion
ct123-616_rebat-14,,Australia. West Island,Sea lion
ct123-F222_rebat-14,,Australia. West Island,Sea lion
ct123-F223_rebat-14,,Australia. West Island,Sea lion
ct123-F628_rebat2-14,,Australia. West Island,Sea lion
ct27-W1-07,,Weddell Sea,
ct27-W2-07,,Weddell Sea,
ct27-W3-07,,Weddell Sea,
ct27-W5-07,,Weddell Sea,
ct27x-W4-07,,Elephant Island,
ct43-574-09,,Weddell Sea,
ct43-582-09,,Weddell Sea,
ct43-613-09,,Weddell Sea,
ct43-858-09,,Weddell Sea,
ct43-860-09,,Weddell Sea,
ct43-862-09,,Weddell Sea,
ct43-864-09,,Weddell Sea,
ct43-865-09,,Weddell Sea,
ct43-866-09,,Weddell Sea,
ct70-356-11,,Weddell Sea,
ct70-486-11,,Weddell Sea,
ct70-488-11,,Weddell Sea,
ct70-490-11,,Weddell Sea,
ct70-491-11,,Weddell Sea,
ct70-499-11,,Weddell Sea,
ct70-500-11,,Weddell Sea,
ct70-501-11,,Weddell Sea,
ct70-502-11,,Weddell Sea,
ct70-503-11,,Weddell Sea,
ct70-526-11,,Weddell Sea,
ct70-633-11,,Weddell Sea,
ct70-634-11,,Weddell Sea,
ct70-637-11,,Weddell Sea,
ct70-638-11,,Weddell Sea,
ct70-640-11,,Weddell Sea,
ct70-642-11,,Weddell Sea,
ct70-643-11,,Weddell Sea,
ct70-650-11,,Weddell Sea,
ct122-154-15,,Kerguelen,Southern ellie
ct122-158-15,,Kerguelen,Southern ellie
ct122-159-15,,Kerguelen,Southern ellie
ct122-32BAT-15,,Kerguelen,Southern ellie
ct122-33BAT-15,,Kerguelen,Southern ellie
ct122-35BAT-15,,Kerguelen,Southern ellie
ct122-39BAT-13,,Kerguelen,Southern ellie
ct122-43BAT-15,,Kerguelen,Southern ellie
ct122-49BAT-15,,Kerguelen,Southern ellie
ct119-275-14,,Scott Base,Weddell seal
ct119-279-14,,Scott Base,Weddell seal
ct119-294-14,,Scott Base,Weddell seal
DL02-C400-16,,,Grey seal
DL02-C401-16,,,Grey seal
