smru_platform_code,T1,T2,S1,S2,remove,Sremove,comment
BM01-544-12,0,0,0,0,0,0,no comment
BM02-01-17,0,0,0,0,0,0,no comment
BM02-03-17,0,0,0,0,0,0,no comment
BM02-05-17,0,0,0,0,1,0,no comment
BM02-06-17,0,0,0,0,0,0,no comment
BM03-853-18,0,0,0,0,0,0,no comment
BM03-855-18,0,0,0,0,1,0,no comment
BM03-856-18,0,0,0,0,0,0,no comment
BM03-857-18,0,0,0,0,0,0,no comment
DL02-C400-16,0,0,0,0,0,0,no comment
DL02-C401-16,0,0,0,0,0,0,no comment
MY01-449-17,0,0,0,0,1,0,no comment
MY01-512-17,0,0,0,0,1,0,no comment
MY01-513-17,0,0,0,0,0,0,no comment
MY01-514-17,0,0,0,0,1,0,no comment
MY01-515-17,0,0,0,0,1,0,no comment
awru1-A-06,0,0.05,0,0,0,0,no comment
awru1-B-06,0,0.25,0,0,0,0,no comment
awru1-C-06,0,0.04,0,0,0,0,no comment
bs1-53127-04,0,0,0,0,0,0,no comment
bs1-53128-04,0,0,0,0,0,0,no comment
bs1-53129-04,0,0,0,0,1,0,no comment
bs1-53130-04,0,0,0,0,0,0,no comment
bs2-53127-05,0,0,0,0,0,0,no comment
bs2-53128-05,0,0,0,0,0,0,no comment
bs2-53130-05,0,0,0,0,0,0,no comment
bv3-240-14,0,0,0,0,0,0,no comment
bv3-241-14,0,0,0,0,0,0,no comment
bv3-242-14,0,0,0.03,0,0,0,no comment
bv3-243-14,0,0,0,0,0,0,no comment
bv3-245-14,0,0,0,0,0,0,no comment
bv3-246-14,0,0,0,0,0,0,no comment
bv3-247-14,0,0,0,0,0,0,no comment
bv3-248-14,0,0,0,0,0,0,no comment
ct1-Blitzen-04,0,0,0,-1.2,0,0,no comment
ct1-Comet-04,0,0,0,0.3,0,0,no comment
ct1-Dancer-04,0,0,0,0.1,0,0,no comment
ct1-Dasher-04,0,0,0,0.5,0,0,no comment
ct1-Donner-04,0,0,0,0.3,0,0,no comment
ct1-Vixen-04,0,0,0,0.45,0,0,no comment
ct10-22925-05,0,0,0,-0.8,0,0,no comment
ct10-23104-05,0,0,0,0.31,0,1,no comment
ct10-24176-05,0,0,0,0.5,0,0,no comment
ct10-24178-05,0,0,0,0.33,0,0,no comment
ct10-25966-05,0,0,0,0.3,1,0,no comment
ct10-26341-05,0,0,0,0.35,0,0,no comment
ct10-28592-05,0,0,0,0.3,0,0,no comment
ct100-251-13,0,0,0,0.05,0,0,no comment
ct100-263-13,0,0,0,0.17,0,0,no comment
ct100-264-13,0,0,0,0.3,0,0,no comment
ct100-298-13,0,0,0,0.15,0,0,no comment
ct100-301-13,0,0,0.05,0.05,0,0,no comment
ct101-303-12,0,0,0,0,0,0,no comment
ct101-330-12,0,0,0,0,0,0,no comment
ct101-416-12,0,0,0,0,0,0,no comment
ct101-701-13,0,0,0,0,0,0,no comment
ct101-703-13,0,0,0,0,0,0,no comment
ct101-704-13,0,0,0,0,0,0,no comment
ct101-706-13,0,0,0,0,1,0,no comment
ct101-790-13,0,0,0,0,0,0,no comment
ct101-791-13,0,0,0,0,0,0,no comment
ct101-792-13,0,0,0,0,0,0,no comment
ct101-793-13,0,0,0,0,0,0,no comment
ct101-794-13,0,0,0,0,0,0,no comment
ct101-795-13,0,0,0,0,0,0,no comment
ct102-10432-13,0,0,0,0,1,0,no comment
ct102-12190-12,0,0,0.05,0,0,0,no comment
ct102-12782-13,0,0,0.06,0.02,0,0,no comment
ct102-12787-13,0,0,-0.03,0.08,0,0,no comment
ct102-12797-13,0,0,0,0.45,0,1,no comment
ct102-12798-13,0,0,0.05,0.08,0,0,no comment
ct102-12799-13,0,0,0,0.08,0,0,no comment
ct102-OO052-11,0,0,0,-0.05,0,0,no comment
ct104-EF838-13,-0.01,0.02,0,0.1,0,0,no comment
ct104-EF960-13,0.06,-0.01,0,0.08,0,0,no comment
ct104-EF970-13,0.18,0.01,0,-0.1,0,0,no comment
ct104-EM889-13,-0.07,0.04,0,0.1,0,0,no comment
ct104-EM959-13,-0.01,0.01,0,0.07,0,0,no comment
ct104-EM961-13,0.05,-0.02,0,0.1,0,0,no comment
ct104-EM971-13,-0.03,0.02,0,0.08,0,0,no comment
ct104-WF858-13,0.05,0,0,0.1,0,0,no comment
ct104-WF893-13,-0.01,0.01,0,0.07,0,0,no comment
ct104-WF895-13,-0.01,0.01,0,0.1,0,0,no comment
ct104-WF896-13,0.02,0.01,0,0.1,0,0,no comment
ct104-WF963-13,-0.02,0.02,0,0.1,0,0,no comment
ct104-WM890-13,0,0,0,0.1,0,0,no comment
ct104-WM972-13,0.18,-0.01,0,0,0,0,no comment
ct105-12-13,0,0,0,0,1,0,no comment
ct105-14f-13,0,0,0,0.06,0,0,no comment
ct105-15f-13,0,0,0,0.06,0,0,no comment
ct106-175-12,0,0,0,0,0,0,no comment
ct106-399_2-11,0,0,0,0,1,0,no comment
ct106-614-12,0,0,0,0,0,0,no comment
ct106-628_rebat-14,0,0,0,0,0,0,no comment
ct106-629_2-12,0,0,0,0,0,0,no comment
ct106-633_rebat-14,0,0,0,0,0,0,no comment
ct106-705-13,0,0,0,0,0,0,no comment
ct106-796-13,0,0,0,0,0,0,no comment
ct107-933-13,0,0,0,-0.03,0,0,no comment
ct107-933b-13,0,0,0,0,1,0,no comment
ct107-934-13-N1,0,0,0,0.06,0,0,no comment
ct107-934-13-N2,0,0,0,0.06,0,0,no comment
ct107-938-13-N1,0,0,0,-0.02,0,0,no comment
ct107-938-13-N2,0,0,0,-0.02,0,0,no comment
ct107-940-13,0,0,0,0.09,0,0,no comment
ct107-941-13-N1,0,0,0,0.03,0,0,no comment
ct107-941-13-N2,0,0,0,0.03,0,0,no comment
ct107-947-13-N1,0,0,0,-0.01,0,0,no comment
ct107-947-13-N2,0,0,0,-0.01,0,0,no comment
ct107-950-13-N1,0,0,0,0.03,0,0,no comment
ct107-950-13-N2,0,0,0,0.03,0,0,no comment
ct107-951-13-N1,0,0,0,0.06,0,0,no comment
ct107-951-13-N2,0,0,0,0.06,0,0,no comment
ct107-952-13-N1,0,0,0,0.07,0,0,no comment
ct107-952-13-N2,0,0,0,0.07,0,0,no comment
ct107-953-13-N1,0,0,0,0.04,0,0,no comment
ct107-953-13-N2,0,0,0,0.04,0,0,no comment
ct107-F945-13,0,0,0,0,1,0,no comment
ct107-F946-13-N1,0,0,0,-0.02,0,0,no comment
ct107-F946-13-N2,0,0,0,-0.02,0,0,no comment
ct107-F954-14,0,0,0,-0.01,0,0,no comment
ct107-F995-14,0,0,0,0.03,0,0,no comment
ct108-297-13,0,0,0,-0.09,0,0,no comment
ct108-300-13,0,0,0,0.07,0,0,no comment
ct108-554-13,0,0,0,0.3,0,0,no comment
ct108-555-13,0,0,0,0,1,0,no comment
ct108-564-13,0,0,0,0.08,0,0,no comment
ct108-569-13,0,0,0,0,0,1,no comment
ct108-622-13,0,0,0,0,0,0,no comment
ct108-632-13,0,0,0,0,0,0,no comment
ct108-663-13,0,0,0,0.14,0,0,no comment
ct109-031-14,0,0,0,0.15,0,0,no comment
ct109-032-14,0,0,0,0.15,0,0,no comment
ct109-085-14,0,0,-0.03,0,0,0,no comment
ct109-184-14,0,0,0,0.02,0,0,no comment
ct109-186-14,0,0,0,0.04,0,0,no comment
ct109-187-14,0,0,0,-0.06,0,0,no comment
ct109-188-14,0,0,0,0.03,0,0,no comment
ct109-190-14,0,0,-0.03,-0.01,0,0,no comment
ct109-191-14,0,0,-0.1,0.1,0,0,no comment
ct109-937-14,0,0,-0.02,0,0,0,no comment
ct109-939-14,0,0,0,0,0,0,no comment
ct109-942-14,0,0,0,0,0,0,no comment
ct109-944-14,0,0,0,0.03,0,0,no comment
ct109-949-14,0,0,0.02,0.02,0,0,no comment
ct109-956-14,0,0,0,0.03,0,0,no comment
ct109-958-14,0,0,0,0.03,0,0,no comment
ct109-964-14,0,0,0,0,0,0,no comment
ct109-965-14,0,0,0,0.15,0,0,no comment
ct109-966-14,0,0,0.05,0.1,0,0,no comment
ct109-967-14,0,0,0,0,0,0,no comment
ct109-968-14,0,0,0,0.2,0,0,no comment
ct109-969-14,0,0,0,0,1,0,no comment
ct109-973-14,0,0,0,0.1,0,0,no comment
ct11-10064-05,0,0,0,-0.05,0,0,no comment
ct11-10096-05,0,0,0,0,0,1,no comment
ct11-10097-05,0,0,0,0,0,1,no comment
ct110-027-14,0,0,0,0,0,0,no comment
ct110-028-14,0,0,0,0,0,0,no comment
ct110-029-14,0,0,0,0,0,0,no comment
ct110-086-14,0,0,0,0,0,0,no comment
ct110-087-14,0,0,0,0,0,0,no comment
ct110-088-14,0,0,0,0,0,0,no comment
ct110-089-14,0,0,0,0,0,0,no comment
ct110-090-14,0,0,0,0,0,0,no comment
ct110-255-12,0,0,0,0,1,0,no comment
ct110-256-12,0,0,0,0,0,0,no comment
ct111-030-13,0,0,0,0,0,0,no comment
ct111-617-13,0,-0.04,0,0.05,0,0,no comment
ct111-665-13,0,0,0,0.1,0,0,no comment
ct111-701-14,0,0,0,0,1,0,no comment
ct111-835-10,0,0,0,0,1,0,no comment
ct112-033-14,0,0,0,-0.02,0,0,no comment
ct112-034-14,0,0,0,0.03,0,0,no comment
ct112-035-14,0,0,0,-0.2,0,0,no comment
ct112-047-14,0,0,0,-0.1,0,0,no comment
ct112-048-14,0,0,0,0.02,0,0,no comment
ct112-049-14,0,0,0,-0.03,0,0,no comment
ct112-050-14,0,0,0,0.04,0,0,no comment
ct112-051-14,0,0,0,-0.17,0,0,no comment
ct113-10515-10,0,0,0,0,0,0,no comment
ct113-12787-13,0,0,0,0,0,0,no comment
ct113-12823-13,0,0,0,0,0,0,no comment
ct114-02-14,0,0,0,0,0,0,no comment
ct114-03-14,0,0,0,0.07,0,0,no comment
ct114-04-14,0,0,0,0.07,0,0,no comment
ct114-05-14,0,0,0,0.05,0,0,no comment
ct114-06-14-N1,0,0,0,0,0,1,no comment
ct114-06-14-N2,0,0,0,0,0,1,no comment
ct114-07-14,0,0,0,0.17,0,0,no comment
ct114-08-14,0,0,0,0.06,0,0,no comment
ct114-09-14-N1,0,0,0,0,0,0,no comment
ct114-09-14-N2,0,0,0,0.2,0,0,no comment
ct114-10-14,0,0,0,0,0,0,no comment
ct114-11-14,0,0,0,0.02,0,0,no comment
ct114-12-14,0,0,0,0.1,0,0,no comment
ct114-13-14,0,0,0,0.09,0,0,no comment
ct114-14-14,0,0,0,0,0,0,no comment
ct114-15-14,0,0,0,0,0,0,no comment
ct114-16-14,0,0,0,0.1,0,0,no comment
ct115-892-14,0,0,0,0,0,0,no comment
ct116-13-15,0,0,0,0.1,0,0,no comment
ct116-308-14,0,0,0,0.15,0,0,no comment
ct117-265-15,0,0,0,0.1,0,0,no comment
ct117-266-15,0,0,0,0.05,0,0,no comment
ct118-301-11,0,0,0,0,0,1,no comment
ct118-319-11,0,0,0,-0.1,0,0,no comment
ct118-331-11,0,0,0,0,0,0,no comment
ct118-493-11,0,-0.2,0,0.1,0,0,no comment
ct118-894-13,0,0,0,0,0,0,no comment
ct118-929-13,0,0,0,0,0,0,no comment
ct119-275-14,0,0,0,0.1,0,0,no comment
ct119-279-14,0,0.03,0,0.05,0,0,no comment
ct119-294-14,0,0,0,0.05,0,0,no comment
ct119-300-14,0,0,0,0.05,0,0,no comment
ct12-054-05,0,0,0,-0.01,0,0,no comment
ct12-098-05,0,0,0,-0.68,0,0,no comment
ct12-102-05,0,0,0,0,0,1,no comment
ct12-107-05,0,0,0,0.32,0,0,no comment
ct12-110-05,0,0,0,0.12,0,0,no comment
ct120-035BAT-15,0,0,0.1,-0.6,0,0,no comment
ct120-048BAT-15,0,0,-0.1,0.05,0,0,no comment
ct120-049BAT-15,0,0,0,-0.15,0,0,no comment
ct120-050BAT-15,0,0,0,0.1,0,0,no comment
ct120-075-15,0,0,0,0,0,0,no comment
ct120-079-15,0,0,0,0,1,0,no comment
ct120-15fBAT-15,0,0,0,0.15,0,0,no comment
ct120-262-15,0,0,0,0,0,0,no comment
ct120-265BAT-15,0,0,0.05,0.1,0,0,no comment
ct120-266BAT-15,0,0,0,0,0,0,no comment
ct120-688BAT-15,0,0,0.03,-0.03,0,0,no comment
ct120-695BAT-15,0,0,0.03,0,0,0,no comment
ct120-F4-15,0,0,0,-0.6,0,0,no comment
ct121-01-15,0,0,0.03,0.1,0,0,no comment
ct121-02-15,0,0,0.05,0.06,0,0,no comment
ct122-153-15,0,0,0,0,1,0,no comment
ct122-154-15,0,0,0.02,0.03,0,0,no comment
ct122-157-15,0,0,0,0,0,0,no comment
ct122-158-15,0,0,0.02,0,0,0,no comment
ct122-159-15,0,0,0,0,0,1,no comment
ct122-32BAT-15,0,0,-0.1,-0.02,0,0,no comment
ct122-33BAT-15,0,0,0.01,0,0,0,no comment
ct122-35BAT-15,0,0,0.03,0,0,0,no comment
ct122-39BAT-13,0,0,0.02,0,0,0,no comment
ct122-42BAT-15,0,0,0,0,1,0,no comment
ct122-43BAT-15,0,0,-0.1,0,0,0,no comment
ct122-49BAT-15,0,0,-0.02,-0.03,0,0,no comment
ct123-185-14,0,0,0,0,0,0,no comment
ct123-224-14,0,0,0,0,0,0,no comment
ct123-226-14,0,0,0,0,0,0,no comment
ct123-363_rebat-09,0,0,0,0,0,0,no comment
ct123-616_rebat-14,0,0,0,0,0,0,no comment
ct123-F222_rebat-14,0,0,0,0,0,0,no comment
ct123-F223_rebat-14,0,0,0,0,0,0,no comment
ct123-F628_rebat2-14,0,0,0,0,0,0,no comment
ct125-02BAT-14,0,0,0,0.1,0,0,no comment
ct125-05BAT-14,0,0,0,0.2,0,0,no comment
ct125-06BAT-14,0,0,0,0.1,0,1,no comment
ct125-227-12,0,0,0,0.1,1,0,no comment
ct125-244-12,0,0,0,0,1,0,no comment
ct125-953-13,0,0,0,0,1,0,no comment
ct125-F946-13,0,0,0,-0.2,1,0,no comment
ct126-197-15,0,0,0,0.2,1,0,no comment
ct126-366-15,0,0,0,0,1,0,no comment
ct126-367-15,0,0,0,0,1,0,no comment
ct127-11061-09,0,0,0,0,0,0,no comment
ct127-11343-07,0,0,0,0,0,0,no comment
ct127-11877-08,0,0,0,0,0,0,no comment
ct128-261BAT-13,0,0,0,0,1,0,no comment
ct128-700BAT-12,0,0,0,-0.3,0,0,no comment
ct128a-246BAT-12,0.1,-0.15,0,0.05,0,0,no comment
ct129-R189-14,0,0,0,0.13,0,0,no comment
ct129-R229-14,0,0,0,0.2,0,0,no comment
ct129-R234-14,0,0,0,0.12,0,0,no comment
ct129-R235-14,0,0,0,0,0,0,no comment
ct129-R264-14,0,0,0,0.03,0,0,no comment
ct129-R267-14,0,0,0,-0.05,0,0,no comment
ct129-R269-14,0,0,0,0.05,0,0,no comment
ct129-R270-14,0,0,0,0,1,0,no comment
ct129-R933c-13,0,0,0,-0.04,0,0,no comment
ct129-R962-14,0,0,0,0,0,0,no comment
ct13-057-05,0,0,0,0.16,1,0,no comment
ct13-059-05,0,0,0,0.01,0,0,no comment
ct13-063-05,0,0,0,0,1,0,no comment
ct13-099-05,0,0,0,-0.14,1,0,no comment
ct130-F55-16,0,0,0,0,0,0,no comment
ct130-F58-16,0,0,0,0,0,0,no comment
ct130-F65-16,0,0,0,0,0,0,no comment
ct130-M53-16,0,0,0,0,0,0,no comment
ct130-M65-16,0,0,0,0,0,0,no comment
ct131-035BAT2-15,0,0,0,0,0,1,no comment
ct131-048BAT2-15,0,0,0,0,0,0,no comment
ct131-049BAT2-16,0,0,0,0,0,0,no comment
ct131-050BAT2-16,0,0,0,0.05,0,0,no comment
ct131-075BAT-16,0,0,0,0,0,0,no comment
ct131-265BAT2-16,0,0,0,0,0,0,no comment
ct131-C2BAT3-12,0,0,0,0.1,0,0,no comment
ct132-328F-16,0,0,0,0,0,0,no comment
ct132-329-16,0,0,0,-0.18,0,0,no comment
ct132-330F-16,0,0,0,0,1,0,no comment
ct132-331-16,0,0,0,-0.05,0,0,no comment
ct132-PCA76-16,0,0,0,0,1,0,no comment
ct133-156-15,0,0,0,0.15,0,0,no comment
ct133-160-15,0,0,0,0.1,0,0,no comment
ct134-164-15,0,0,0,0.03,0,0,no comment
ct134-165-15,0,0,0,0,1,0,no comment
ct134-276-14,0,0,0,0.1,0,0,no comment
ct134-277-14,0,0,0,0.2,0,0,no comment
ct134-295-14,0,0,0,0,1,0,no comment
ct134-301-14,0,0,0,0,0,1,no comment
ct134-303-14,0,0,0,0.03,0,0,no comment
ct134-304-14,0,0,0,0.05,0,0,no comment
ct134-354-16,0,0,0,0,1,0,no comment
ct134-357-16,0,0,0,0,1,0,no comment
ct134-358-16,0,0,0,0,1,0,no comment
ct134-360-16,0,0,0,0,1,0,no comment
ct134-361-16,0,0,0,0,1,0,no comment
ct134-368-16,0,0,0,0,1,0,no comment
ct134-416-16,0,0,0,0,1,0,no comment
ct134-417-16,0,0,0,0,1,0,no comment
ct134-418-16,0,0,0,0,1,0,no comment
ct134-419-16,0,0,0,0,1,0,no comment
ct134-420-16,0,0,0,0,1,0,no comment
ct134-421-16,0,0,0,0,1,0,no comment
ct134-422-16,0,0,0,0,1,0,no comment
ct134-440-16,0,0,0,0,1,0,no comment
ct134-441-16,0,0,0,0,1,0,no comment
ct135-084BAT-14,0,0,0,0.1,1,0,no comment
ct135-184BAT-14,0,0,0,0,1,0,no comment
ct135-186BAT-14,0,0,0,-0.03,0,0,no comment
ct135-188BAT-14,0,0,0,0,1,0,no comment
ct135-190BAT-14,0,0,0,0.03,1,0,no comment
ct135-297BAT-13,0,0,-0.06,-0.15,1,0,no comment
ct135-892BAT-12,0,0,0,0,1,0,no comment
ct135-937BAT-14,0,0,0,0,0,1,no comment
ct135-939BAT-14,0,0,0.02,0.02,1,0,no comment
ct135-965BAT-14,0,0,0.05,0.02,1,0,no comment
ct135-966BAT-14,0,0,0,0,0,0,no comment
ct136-225-14,0,0,0,0,0,0,no comment
ct136-236BAT-12,0,0,0,0,0,0,no comment
ct136-892BAT-13,0,0,0,0,0,0,no comment
ct136-F222BAT2-14,0,0,0,0,0,0,no comment
ct136-F628BAT3-12,0,0,0,0,0,0,no comment
ct137-189BAT-14,0,0,0,0.08,0,0,no comment
ct137-227BAT-12,0,0,0,-0.04,0,0,no comment
ct137-231BAT-14,0,0,0,0.15,0,0,no comment
ct137-267BAT-14,0,0,0,0.05,0,0,no comment
ct137-268BAT-14,0,0,0,0.11,0,0,no comment
ct137-367BAT-15,0,0,0,0.1,0,0,no comment
ct137-428-10,0,0,0,0.15,0,0,no comment
ct137-933BAT-13,0,0,0,0.1,0,0,no comment
ct137-953BAT-13,0,0,0,0.09,0,0,no comment
ct138-F70-17,0,0,0,0,0,0,no comment
ct138-F72-17,0,0,0,0,0,0,no comment
ct138-F75-17,0,0,0,0,1,0,no comment
ct138-F77-17,0,0,0,0,0,0,no comment
ct138-F78-17,0,0,0,0,0,0,no comment
ct138-F85-17,0,0,0,0,0,0,no comment
ct138-M75-17,0,0,0,0,0,0,no comment
ct138-M80-17,0,0,0,0,0,0,no comment
ct138-M88-17,0,0,0,0,0,0,no comment
ct138-M89-17,0,0,0,0,0,0,no comment
ct139-035BAT3-15,0,0,0,0,1,0,no comment
ct139-075BAT2-16,0,0,0,-0.05,0,0,no comment
ct139-265BAT3-16,0,0,0,-0.02,0,0,no comment
ct139-331BAT-16,0,0,0,0.2,0,0,no comment
ct139-619-17,0,0,0,0,0,1,no comment
ct139-622-17,0,0,0,0,0,0,no comment
ct139-623-17,0,0,0,-0.05,0,0,no comment
ct139-624-17,0,0,0,0,0,1,no comment
ct139-F328BAT-16,0,0,0,0,0,0,no comment
ct139-F620-17,0,0,0,0,0,0,no comment
ct139-F621-17,0,0,0,0,0,0,no comment
ct139-F932BAT-13,0,0,0,0.05,0,0,no comment
ct139-PCA077-16,0,0,0,0,1,0,no comment
ct139-PCA078-16,0,0,0,-0.35,0,0,no comment
ct14-068-06,0,0,0,-0.1,0,0,no comment
ct14-103-06,0,0,0,0.2,0,0,no comment
ct14-104-06,0,0,0,0.1,0,0,no comment
ct14-105-06,0,0,0,0.12,0,0,no comment
ct14-106-06,0,0,0,-0.05,0,0,no comment
ct14-111-06,0,0,0,-0.01,0,0,no comment
ct14-113-06,0,0,0,0,1,0,no comment
ct14-116-06,0,0,0,0,1,0,no comment
ct14-117-06,0,0,0,-0.5,1,0,no comment
ct14-118-06,0,0,0,0,0,1,no comment
ct14-175-06,0,0,0.04,0,0,0,no comment
ct14-177-06,0,0,0,0,1,0,no comment
ct140-154BAT-15,0,0,0,0,0,0,no comment
ct140-158BAT-15,0,0,0,-0.05,0,0,no comment
ct140-159BAT-15,0,0,0,0,0,0,no comment
ct140-161-15,0,0,0.05,0.35,0,0,no comment
ct140-162-15,0,0,0,0,1,0,no comment
ct140-163-15,0,0,0,0.01,0,0,no comment
ct140-166-15,0,-0.05,0.05,0.01,0,0,no comment
ct140-168-15,0,0,0,0,1,0,no comment
ct140-169-15,0,0,0,0.01,0,0,no comment
ct140-170-15,0,0,0,0,0,0,no comment
ct140-171-15,0,0,0,0,0,0,no comment
ct140-172-15,0,0,0,0.025,0,0,no comment
ct140-173-15,0,0,0,0.15,0,0,no comment
ct140-174-15,0,-0.05,0,0.1,0,0,no comment
ct140-175-15,0,0,0,0.05,0,0,no comment
ct140-176-15,0,0,0,-0.05,0,0,no comment
ct140-177-15,0,0.1,0.05,-0.075,0,0,no comment
ct140-178-15,0,0,0,0,0,0,no comment
ct140-179-15,0,0,0.05,0.15,0,0,no comment
ct140-188-15,0,0,0.05,0.05,0,0,no comment
ct140-189-15,0,0,0,0,1,0,no comment
ct140-635BAT-13,0,0,0,-0.025,0,0,no comment
ct140-690BAT-13,0,0,0,-0.02,0,0,no comment
ct140-695BAT-13,0,0,0,-0.025,0,0,no comment
ct140-699BAT-13,0,0,0,0,0,0,no comment
ct140-700BAT-13,0,0,0.05,-0.17,0,0,no comment
ct140-956BAT-14,0,0,0,0,0,0,no comment
ct141-640AM-17,0,0,0,0,0,0,no comment
ct141-641AF-17,0,0,0,0,1,0,no comment
ct141-642AM-17,0,0,0,0.2,0,0,no comment
ct141-643AM-17,0,0,0,0.2,0,0,no comment
ct141-645SM-17,0,0,0,0.2,0,0,no comment
ct141-646SM-17,0,0,0,-0.01,0,0,no comment
ct141-647AF-17,0,0,0,-0.01,0,0,no comment
ct141-663AF-17,0,0,0,0.02,0,0,no comment
ct141-664SM-17,0,0,0,0.01,0,0,no comment
ct141-665AF-17,0,0,0,0.25,0,0,no comment
ct141-668AF-17,0,0,0,0.2,0,0,no comment
ct141-669AM-17,0,0,0,0.16,0,0,no comment
ct141-671AF-17,0,0,0,-0.01,0,0,no comment
ct141-672AF-17,0,0,0,0.2,0,0,no comment
ct141-673AF-17,0,0,0,0.02,0,0,no comment
ct142-1-17,0,0,0,0,0,0,no comment
ct142-2-17,0,0,0,0,1,0,no comment
ct142-3-17,0,0,0,0,0,0,no comment
ct143-666-18,0,0,0,0,0,0,no comment
ct143-667-18,0,0,0,0,0,0,no comment
ct144-084BAT2-14,0,0,0,0,0,1,no comment
ct144-186BAT2-14,0,0,0,0.1,0,0,no comment
ct144-190BAT2-14,0,0,0,0.1,0,0,no comment
ct144-278BAT-14,0,0,0.03,0.07,0,0,no comment
ct144-298BAT-14,0,0,0,0.03,0,0,no comment
ct144-331BAT2-16,0,0,0,-0.04,0,0,no comment
ct144-622BAT-17,0,0,0,0.14,0,0,no comment
ct144-624BAT-17,0,0,0,-0.03,0,0,no comment
ct144-800-18,0,0,0,-0.07,0,0,no comment
ct144-801-18,0,0,0,0,0,0,no comment
ct144-802-18,0,0,0,0.05,0,0,no comment
ct144-939BAT2-14,0,0,0,0,0,0,no comment
ct144-965BAT2-14,0,0,0,-0.02,0,0,no comment
ct144-F620BAT-17,0,0,0,0.15,0,0,no comment
ct144-F932BAT2-13,0,0,0,0.25,0,0,no comment
ct145-227-BAT2-12,0,0,0,-0.01,0,0,no comment
ct145-231-BAT2-14,0,0,0,0.1,0,0,no comment
ct145-235-BAT-14,0,0,0,0.18,0,0,no comment
ct145-269-BAT-18,0,0,0,0,1,0,no comment
ct145-366-BAT2-15,0,0,0,0.05,0,0,no comment
ct145-367-BAT2-15,0,0,0,0.05,0,0,no comment
ct145-423-BAT-18,0,0,0,0.02,0,0,no comment
ct145-427-BAT-10,0,0,0,0.01,0,0,no comment
ct145-428-BAT-18,0,0,0,0.12,0,0,no comment
ct145-675-BAT-18,0,0,0,-0.3,0,0,no comment
ct145-767-18,0,0,0,0,0,0,no comment
ct145-933-BAT2-18,0,0,0,0.03,1,0,no comment
ct145-953-BAT2-18,0,0,0,0.03,0,0,no comment
ct145-F995-BAT-14,0,0,0,-0.01,0,0,no comment
ct146-1-18,0,0,0,-0.05,0,0,no comment
ct148-932-18,0,0,0.05,0.1,0,0,no comment
ct148-933-18,0,0,0,0.1,0,0,no comment
ct148-934-18,0,0,0,0.03,0,0,no comment
ct148-935-18,0,0,0,0,0,0,no comment
ct148-936-18,0,0,0,-0.2,0,0,no comment
ct148-937-18,0,0,0,0,1,0,no comment
ct148-938-18,0,0,0,0,0,0,no comment
ct148-939-18,0,0,0,0.26,0,0,no comment
ct148-940-18,0,0,0,0.05,0,0,no comment
ct148-941-18,0,0,0.05,0.1,0,0,no comment
ct148-944-18,0,0,0,0,0,0,no comment
ct148-945-18,0,0,0,0.05,0,0,no comment
ct148-946-18,0,0,0,-0.11,0,0,no comment
ct148-947-18,0,0,0,0.05,0,0,no comment
